neurons,activation,batch_size,opt,hops,score1,score2
16,sigmoid,16,Adam,20,0.7894736842105263,0.96939477303989
16,sigmoid,16,Adam,30,0.8026315789473685,0.9699792960662525
16,sigmoid,32,Adam,10,0.8114035087719298,0.9674434544208362
16,sigmoid,32,Adam,20,0.8157894736842105,0.969050894085282
16,sigmoid,32,Adam,30,0.8026315789473685,0.9696342305037957
16,sigmoid,8,RMSprop,10,0.8070175438596491,0.9657299520219328
16,sigmoid,8,RMSprop,20,0.8201754385964912,0.9625171939477304
16,sigmoid,8,RMSprop,30,0.7894736842105263,0.9637681159420289
16,sigmoid,16,RMSprop,10,0.8026315789473685,0.9660726525017135
16,sigmoid,16,RMSprop,20,0.8026315789473685,0.9656121045392022
16,sigmoid,16,RMSprop,30,0.8157894736842105,0.9654934437543133
16,sigmoid,32,RMSprop,10,0.8157894736842105,0.9694996572995203
16,sigmoid,32,RMSprop,20,0.8157894736842105,0.9680192572214581
16,sigmoid,32,RMSprop,30,0.8201754385964912,0.966528640441684
16,sigmoid,8,Adadelta,10,1.0,0.07813570938999315
16,sigmoid,8,Adadelta,20,0.9824561403508771,0.18019257221458046
16,sigmoid,8,Adadelta,30,0.02631578947368421,0.6763285024154589
16,sigmoid,16,Adadelta,10,0.9429824561403509,0.08293351610692255
16,sigmoid,16,Adadelta,20,1.0,0.07840440165061899
16,sigmoid,16,Adadelta,30,0.0,0.9213250517598344
16,sigmoid,32,Adadelta,10,0.017543859649122806,0.9215215901302262
16,sigmoid,32,Adadelta,20,0.0,0.921595598349381
16,sigmoid,32,Adadelta,30,0.0,0.9213250517598344
16,tanh,8,SGD,10,0.7675438596491229,0.9619602467443454
16,tanh,8,SGD,20,0.7412280701754386,0.9680192572214581
16,tanh,8,SGD,30,0.8201754385964912,0.966183574879227
16,tanh,16,SGD,10,0.7412280701754386,0.9629883481836875
16,tanh,16,SGD,20,0.7719298245614035,0.9645804676753783
16,tanh,16,SGD,30,0.7192982456140351,0.9641131815044859
16,tanh,32,SGD,10,0.7149122807017544,0.9633310486634681
16,tanh,32,SGD,20,0.7236842105263158,0.9632049518569463
16,tanh,32,SGD,30,0.7587719298245614,0.9675638371290545
16,tanh,8,Adam,10,0.8026315789473685,0.9664153529814942
16,tanh,8,Adam,20,0.793859649122807,0.9666437414030261
16,tanh,8,Adam,30,0.75,0.9627329192546584
16,tanh,16,Adam,10,0.7982456140350878,0.9636737491432488
16,tanh,16,Adam,20,0.7587719298245614,0.9632049518569463
16,tanh,16,Adam,30,0.7412280701754386,0.966183574879227
16,tanh,32,Adam,10,0.7982456140350878,0.9633310486634681
16,tanh,32,Adam,20,0.7894736842105263,0.9669876203576341
16,tanh,32,Adam,30,0.7675438596491229,0.9620427881297446
16,tanh,8,RMSprop,10,0.7543859649122807,0.9609321453050035
16,tanh,8,RMSprop,20,0.8201754385964912,0.9635488308115543
16,tanh,8,RMSprop,30,0.7894736842105263,0.9648033126293996
16,tanh,16,RMSprop,10,0.7894736842105263,0.9647018505825908
16,tanh,16,RMSprop,20,0.7675438596491229,0.9649243466299863
16,tanh,16,RMSprop,30,0.7412280701754386,0.9641131815044859
16,tanh,32,RMSprop,10,0.7763157894736842,0.9633310486634681
16,tanh,32,RMSprop,20,0.7543859649122807,0.9645804676753783
16,tanh,32,RMSprop,30,0.7543859649122807,0.9634230503795721
16,tanh,8,Adadelta,10,0.6929824561403509,0.7978067169294037
16,tanh,8,Adadelta,20,0.5614035087719298,0.9494497936726273
16,tanh,8,Adadelta,30,0.2543859649122807,0.5172532781228434
16,tanh,16,Adadelta,10,0.25877192982456143,0.6980808773132282
16,tanh,16,Adadelta,20,0.32894736842105265,0.2513755158184319
16,tanh,16,Adadelta,30,0.5701754385964912,0.5676328502415459
16,tanh,32,Adadelta,10,0.20614035087719298,0.5589444825222756
