,neurons,activation,batch_size,optimizer,hops,recall,accuracy
241,64,relu,32,RMSprop,20,0.0,0.9972489683631361
242,64,relu,32,RMSprop,30,0.0,0.9972394755003451
243,64,relu,8,Adadelta,10,0.0,0.9828649760109665
244,64,relu,8,Adadelta,20,0.5,0.9951856946354883
245,64,relu,8,Adadelta,30,0.0,0.7318840579710145
246,64,relu,16,Adadelta,10,0.25,0.6901987662782728
247,64,relu,16,Adadelta,20,0.0,0.967331499312242
248,64,relu,16,Adadelta,30,0.0,0.9972394755003451
249,64,relu,32,Adadelta,10,1.0,0.0027416038382453737
250,64,relu,32,Adadelta,20,0.0,0.9769601100412655
251,64,relu,32,Adadelta,30,0.25,0.9085576259489303
252,64,sigmoid,8,SGD,10,0.0,0.9972583961617546
253,64,sigmoid,8,SGD,20,0.0,0.9972489683631361
254,64,sigmoid,8,SGD,30,0.0,0.9972394755003451
255,64,sigmoid,16,SGD,10,0.0,0.9972583961617546
256,64,sigmoid,16,SGD,20,0.0,0.9972489683631361
257,64,sigmoid,16,SGD,30,0.0,0.9972394755003451
258,64,sigmoid,32,SGD,10,0.0,0.9972583961617546
259,64,sigmoid,32,SGD,20,0.0,0.9972489683631361
260,64,sigmoid,32,SGD,30,0.0,0.9972394755003451
261,64,sigmoid,8,Adam,10,0.0,0.9972583961617546
262,64,sigmoid,8,Adam,20,0.0,0.9972489683631361
263,64,sigmoid,8,Adam,30,0.0,0.9972394755003451
264,64,sigmoid,16,Adam,10,0.0,0.9972583961617546
265,64,sigmoid,16,Adam,20,0.0,0.9972489683631361
266,64,sigmoid,16,Adam,30,0.0,0.9972394755003451
267,64,sigmoid,32,Adam,10,0.0,0.9972583961617546
268,64,sigmoid,32,Adam,20,0.0,0.9972489683631361
269,64,sigmoid,32,Adam,30,0.0,0.9972394755003451
270,64,sigmoid,8,RMSprop,10,0.0,0.9972583961617546
271,64,sigmoid,8,RMSprop,20,0.0,0.9972489683631361
272,64,sigmoid,8,RMSprop,30,0.0,0.9972394755003451
273,64,sigmoid,16,RMSprop,10,0.0,0.9972583961617546
274,64,sigmoid,16,RMSprop,20,0.0,0.9972489683631361
275,64,sigmoid,16,RMSprop,30,0.0,0.9972394755003451
276,64,sigmoid,32,RMSprop,10,0.0,0.9972583961617546
277,64,sigmoid,32,RMSprop,20,0.0,0.9972489683631361
278,64,sigmoid,32,RMSprop,30,0.0,0.9972394755003451
279,64,sigmoid,8,Adadelta,10,0.0,0.9972583961617546
280,64,sigmoid,8,Adadelta,20,1.0,0.002751031636863824
281,64,sigmoid,8,Adadelta,30,1.0,0.003105590062111801
282,64,sigmoid,16,Adadelta,10,0.0,0.9972583961617546
283,64,sigmoid,16,Adadelta,20,1.0,0.002751031636863824
284,64,sigmoid,16,Adadelta,30,0.0,0.9972394755003451
285,64,sigmoid,32,Adadelta,10,1.0,0.0027416038382453737
286,64,sigmoid,32,Adadelta,20,1.0,0.07118294360385144
287,64,sigmoid,32,Adadelta,30,0.0,0.9972394755003451
288,64,tanh,8,SGD,10,0.0,0.9972583961617546
289,64,tanh,8,SGD,20,0.0,0.9972489683631361
290,64,tanh,8,SGD,30,0.0,0.9972394755003451
291,64,tanh,16,SGD,10,0.0,0.9972583961617546
