neurons,activation,batch_size,optimizer,recall,accuracy
32,tanh,32,Adam,0.9475524475524476,0.9760404949381327
32,tanh,8,RMSprop,0.9230769230769231,0.971541057367829
32,tanh,16,RMSprop,0.9222027972027972,0.9725534308211473
32,tanh,32,RMSprop,0.9230769230769231,0.9727784026996625
32,tanh,8,Adadelta,0.28583916083916083,0.6240719910011249
32,tanh,16,Adadelta,0.47115384615384615,0.3391451068616423
32,tanh,32,Adadelta,0.6284965034965035,0.2600674915635546
64,relu,8,SGD,0.9318181818181818,0.9759280089988751
64,relu,16,SGD,0.9125874125874126,0.9732283464566929
64,relu,32,SGD,0.9003496503496503,0.9730033745781778
64,relu,8,Adam,0.9466783216783217,0.9754780652418448
64,relu,16,Adam,0.9388111888111889,0.9751406074240719
64,relu,32,Adam,0.9396853146853147,0.9743532058492689
64,relu,8,RMSprop,0.9134615384615384,0.9727784026996625
64,relu,16,RMSprop,0.9222027972027972,0.9722159730033746
64,relu,32,RMSprop,0.9309440559440559,0.9748031496062992
64,relu,8,Adadelta,0.31993006993006995,0.8763779527559055
64,relu,16,Adadelta,0.43094405594405594,0.38245219347581555
64,relu,32,Adadelta,0.1861888111888112,0.8915635545556806
64,sigmoid,8,SGD,0.9082167832167832,0.9714285714285714
64,sigmoid,16,SGD,0.9003496503496503,0.9726659167604049
64,sigmoid,32,SGD,0.8854895104895105,0.9718785151856018
64,sigmoid,8,Adam,0.9353146853146853,0.972103487064117
64,sigmoid,16,Adam,0.9213286713286714,0.9722159730033746
64,sigmoid,32,Adam,0.9440559440559441,0.9722159730033746
64,sigmoid,8,RMSprop,0.9335664335664335,0.9717660292463443
64,sigmoid,16,RMSprop,0.9204545454545454,0.9734533183352081
64,sigmoid,32,RMSprop,0.9213286713286714,0.9723284589426322
64,sigmoid,8,Adadelta,0.004370629370629371,0.8412823397075365
64,sigmoid,16,Adadelta,1.0,0.12868391451068617
64,sigmoid,32,Adadelta,0.0,0.8713160854893138
64,tanh,8,SGD,0.9230769230769231,0.9741282339707537
64,tanh,16,SGD,0.8933566433566433,0.9718785151856018
64,tanh,32,SGD,0.8933566433566433,0.9727784026996625
64,tanh,8,Adam,0.9501748251748252,0.9762654668166479
64,tanh,16,Adam,0.958041958041958,0.9761529808773903
64,tanh,32,Adam,0.9501748251748252,0.976490438695163
64,tanh,8,RMSprop,0.9265734265734266,0.9719910011248594
64,tanh,16,RMSprop,0.916958041958042,0.9731158605174354
64,tanh,32,RMSprop,0.923951048951049,0.9726659167604049
64,tanh,8,Adadelta,0.7263986013986014,0.7934758155230596
64,tanh,16,Adadelta,0.19230769230769232,0.3092238470191226
64,tanh,32,Adadelta,0.47027972027972026,0.4250843644544432
